subject,var_2.5,var_3.5,var_4.5,R1,R2
RBDS001,127.09,205.97,348.97,1.621,1.694
RBDS002,343.16,724.67,879.63,2.112,1.214
RBDS003,79.31,178.69,312.37,2.253,1.748
RBDS004,120.38,174.58,221.01,1.450,1.266
RBDS005,66.90,163.13,361.23,2.438,2.214
RBDS006,132.71,169.59,245.91,1.278,1.450
RBDS007,73.73,119.90,183.44,1.626,1.530
RBDS008,248.26,437.26,607.11,1.761,1.388
RBDS009,163.35,287.19,468.11,1.758,1.630
RBDS010,126.06,248.87,401.39,1.974,1.613
RBDS011,288.46,380.01,657.84,1.317,1.731
RBDS012,121.73,244.75,410.02,2.011,1.675
RBDS013,52.74,95.92,153.57,1.819,1.601
RBDS014,292.36,447.04,570.02,1.529,1.275
RBDS015,89.78,143.52,231.19,1.599,1.611
RBDS016,230.71,502.55,871.02,2.178,1.733
RBDS017,110.06,225.80,352.88,2.052,1.563
RBDS018,217.82,299.97,389.14,1.377,1.297
RBDS019,426.89,604.56,807.60,1.416,1.336
RBDS020,164.58,306.34,490.03,1.861,1.600
RBDS021,152.30,212.88,305.99,1.398,1.437
RBDS022,169.08,295.70,447.72,1.749,1.514
RBDS023,120.03,171.16,207.89,1.426,1.215
RBDS024,278.52,426.57,561.43,1.532,1.316
RBDS025,201.31,310.10,437.94,1.540,1.412
RBDS026,235.35,490.76,786.10,2.085,1.602
RBDS027,260.03,412.36,758.71,1.586,1.840
RBDS028,189.51,257.32,253.49,1.358,0.985
