subject,var_Slow,var_Comfortable,var_Fast,R1,R2
AJ026,3.17,4.23,5.31,1.334,1.256
BD004,3.39,4.94,6.81,1.455,1.38
BL025,3.2,5.47,4.49,1.708,0.822
CF027,5.19,9.42,4.33,1.817,0.459
CL007,2.67,3.09,4.23,1.157,1.368
DA013,6.33,14.2,12.49,2.244,0.879
DC005,2.45,2.41,5.32,0.983,2.208
GF022,9.11,17.34,9.87,1.904,0.57
GM001,4.86,3.08,7.22,0.633,2.346
GQ016,5.85,7.81,4.87,1.334,0.624
HN021,4.23,5.18,5.25,1.224,1.013
HS018,2.4,6.87,5.53,2.869,0.804
JS009,2.67,3.59,6.26,1.344,1.746
LA014,4.27,6.02,9.67,1.409,1.607
LD002,4.49,3.34,5.42,0.743,1.625
LF003,8.56,15.04,23.46,1.757,1.56
LM012,6.02,8.74,12.22,1.451,1.399
MR015,3.14,5.43,9.74,1.729,1.793
OB010,4.74,5.75,9.12,1.212,1.587
PC008,4.59,3.99,7.12,0.87,1.784
PQ006,2.64,3.83,4.18,1.452,1.093
RC020,3.82,7.9,8.82,2.07,1.117
RC023,1.94,2.4,2.58,1.234,1.077
RV028,4.63,3.08,7.01,0.667,2.273
SA017,5.57,5.44,9.5,0.976,1.748
SM019,4.37,6.11,7.23,1.397,1.183
TB030,4.96,9.93,9.21,2.003,0.927
TK029,5.35,9.87,4.09,1.844,0.414
YX024,2.82,4.57,4.25,1.622,0.931
